"id","name","domain","n","m","avg_degree","max_degree","max_in_degree","max_out_degree","h_index_d","h_index_u","fill","reciprocity","pseudo_diameter","fill_overall","parallel_edges","m_unique","max_pagerank","max_in_degree_centrality","max_out_degree_centrality","max_degree_centrality","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_degree"
1134,"rkb-explorer-webscience","Cross_domain",841,1003,"2,3853",77,77,53,5,10,"0,001394071097626",0,2,"0,001418106806206",17,986,"0,003998810939358","0,091666666666667","0,063095238095238","0,091666666666667","5,3553",7,"4,2776",2,"3,9242","2,8807","329,037","241,539","15,3993","8,2982","0,0891"
769,"polymath-virtual-library","Cross_domain",6343,9539,"3,0077",716,716,132,23,41,"0,000233610428922","0,002306321417339",4,"0,000237090103361",140,9399,"0,00149421056109","0,112898139388206","0,02081362346263","0,112898139388206","2,9767",8,"2,1439",13,"12,9063","6,0747","858,212","403,938","166,5735","36,9017","0,1117"
1128,"vulnerapedia","Cross_domain",15772,32089,"4,0691",1182,1175,125,43,67,"0,000120636293919","0,051232509582723",8,"0,000128997901815",2080,30009,"0,00099389357565","0,074503836154968","0,007925940016486","0,074947688795891","2,9517",15,"2,1242",5,"20,9621","7,1587","1030,31","351,858","439,4114","51,2475","0,0747"
486,"museums-in-italy","Cross_domain",33526,49905,"2,9771",3195,3195,11,26,27,"4,17E-05",0,2,"4,44E-05",3083,46822,"0,007003181485002","0,095302013422819","0,000328113348248","0,095302013422819","1,798",12,"3,1849",3,"30,9063","2,0174","2076,27","135,525","955,1978","4,0697","0,0952"
628,"nobelprizes","Cross_domain",37096,96449,"5,2",5057,5055,56,91,93,"6,08E-05","0,056672438283445",4,"7,01E-05",12845,83604,"0,004270986961396","0,13627173473514","0,001509637417442","0,136325650357191","2,2177",33,"4,8037",2,"48,1721","5,4354","1852,78","209,055","2320,5498","29,5435","0,1362"
504,"lak-dataset","Cross_domain",35177,98583,"5,605",7885,7885,527,49,117,"5,68E-05","0,096416217806316",10,"7,97E-05",28343,70240,"0,012435466278427","0,224158517170798","0,014981805776666","0,224158517170798","3,1798",73,"2,3576",17,"47,872","12,3265","1708,2","439,843","2291,7308","151,9431","0,2241"
185,"colinda","Cross_domain",69036,100396,"2,9085",11668,11668,27,63,65,"2,11E-05",0,2,"2,11E-05",2,100394,"0,002739782388575","0,16901571666546","0,000391105960745","0,16901571666546","2,4091",41,"2,5708",6,"45,2504","3,2055","3111,59","220,425","2047,6009","10,2755","0,169"
834,"sandrart-net","Cross_domain",75124,147968,"3,9393",9564,9564,1027,47,70,"2,62E-05","0,121404628027682",16,"2,62E-05",24,147944,"0,010280793083757","0,127311209616229","0,013670913035954","0,127311209616229","4,0367",10,"2,5541",5,"58,7142","5,5379","2980,95","281,163","3447,362","30,6686","0,1273"
452,"imagesnippets","Cross_domain",307407,1058080,"6,8839",33900,33900,185,292,292,"1,11E-05","9,45E-06",11,"1,12E-05",11479,1046601,"0,009929012039329","0,110277613319194","0,00060180998419","0,110277613319194","2,0524",91,"1,9563",12,"144,2088","8,894","4189,74","258,399","20796,1786","79,1028","0,1103"
306,"educationalprograms_sisvu","Cross_domain",463263,3347709,"14,4527",180933,166715,90468,424,643,"1,11E-05","0,722660183426935",12,"1,56E-05",973723,2373986,"0,021671173766669","0,359871951509081","0,195284741679654","0,390563007542168","2,4199",10,"2,0262",65,"333,8916","156,5503","4620,46","2166,38","111483,6019","24508,0008","0,3905"
