,"domain","n","m","avg_degree","max_degree","max_in_degree","max_out_degree","h_index_d","h_index_u","fill","reciprocity","pseudo_diameter","fill_overall","parallel_edges","m_unique","max_pagerank","max_in_degree_centrality","max_out_degree_centrality","max_degree_centrality","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_degree"
"average","Cross_domain","57827357,93","218930066,33","5,46","11752227,13","11751278,67","51451,20","1406,07","1519,60","0,000132","0,08","9,07","0,000137","32172329,13","186757737,20","0,0079","0,1776","0,0214","0,1797","2,62","205,47","2,53","22,13","996,09","23,40","31725,46","606,51","4832403,28","2229,11","0,18"
,"Geography","9763721,45","61049429,00","6,60","2830760,18","2830758,36","14313,36","630,45","661,09","0,000048","0,10","33,91","0,000056","22787796,64","38261632,36","0,0034","0,1473","0,0046","0,1473","2,81","56,00","2,71","154,27","936,13","13,35","16426,07","387,77","3728547,73","440,03","0,13"
,"Government","7491530,70","71263878,49","9,76","6693453,16","6689990,62","169053,89","817,81","846,24","0,000169","0,05","5,95","0,000177","1666284,59","69597593,89","0,0084","0,5679","0,0496","0,5857","14,67","6984,22","4,71","6984,22","1864,70","106,55","26889,55","2447,08","13481549,23","267402,54","0,48"
,"Life_sciences","25550645,53","85262882,16","8,02","9023785,50","8954786,91","2158760,28","938,09","1326,25","0,000015","0,05","4,48","0,000020","33577388,06","51685494,09","0,0073","0,4039","0,0784","0,4168","6,46","1304,50","13,86","82,44","1771,10","350,43","39173,00","8495,19","16779537,39","583556,43","0,34"
,"Linguistics","1260455,00","3347268,13","8,66","503399,23","502826,01","53761,54","114,97","122,65","0,000385","0,03","452,10","0,000420","239882,16","3107385,98","0,0132","0,4606","0,0356","0,4608","13,67","44,59","14,19","18,66","215,16","29,18","6680,77","1117,88","303073,08","4178,81","0,46"
,"Media","9504622,33","31100859,17","5,96","4198940,67","4198940,67","32243,50","474,33","555,83","0,000075","0,13","9,17","0,000106","794826,33","30306032,83","0,0130","0,4367","0,0080","0,4367","2,21","320,67","4,06","211,33","989,48","11,81","32316,59","403,70","2377301,80","204,27","0,30"
,"Publications","9031703,24","28017502,42","6,26","1416377,06","1259606,68","449254,78","374,06","431,88","0,001754","0,05","7,44","0,002557","3310814,12","24706688,30","0,0090","0,3074","0,1438","0,3600","3,50","114,24","6,42","30,70","378,33","84,90","11476,26","1938,95","565500,11","68323,35","0,20"
,"Social_networking","237003,33","1062986,33","8,92","90697,33","90696,67","1790,67","183,00","209,67","0,000023","0,18","16,00","0,000026","33242,67","1029743,67","0,0094","0,3973","0,0072","0,3973","1,97","181,33","2,25","17,67","288,17","9,85","6483,91","221,54","85497,97","97,18","0,34"
,"User_generated","967797,75","1992068,50","4,81","155264,25","155264,25","224,50","183,00","191,50","0,000189","0,01","10,75","0,000216","57800,75","1934267,75","0,0043","0,1796","0,0174","0,1796","2,89","50,75","2,26","39,00","147,27","5,44","6842,23","223,74","34646,20","32,98","0,13"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"domain","n","m","avg_degree","max_degree","max_in_degree","max_out_degree","h_index_d","h_index_u","fill","reciprocity","pseudo_diameter","fill_overall","parallel_edges","m_unique","max_pagerank","max_in_degree_centrality","max_out_degree_centrality","max_degree_centrality","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_degree"
"max","Cross_domain","614448282,00","2656226986,00","14,45","84020020,00","84020020,00","413502,00","11363,00","11661,00","0,001394","0,72","22,00","0,001418","396966429,00","2259260557,00","0,0217","0,5708","0,1953","0,5708","5,36","1887,00","4,80","117,00","6976,99","156,55","238219,00","2715,51","48678354,69","24508,00","0,57"
,"Geography","47541174,00","340880391,00","14,35","18151890,00","18151890,00","95122,00","2400,00","2414,00","0,000278","0,38","323,00","0,000292","156944470,00","206758845,00","0,0066","0,3820","0,0148","0,3820","5,49","217,00","7,58","1054,00","5100,59","58,33","71100,80","1846,04","26016054,64","3402,70","0,38"
,"Government","131634287,00","1489689235,00","29,95","128780026,00","128780026,00","5765533,00","8128,00","8130,00","0,002306","0,65","14,00","0,002306","33207460,00","1489638941,00","0,0326","3,2536","0,7299","3,2536","119,73","199050,00","27,02","199050,00","13531,24","3116,24","241809,00","74450,60","183094507,78","9710933,96","3,25"
,"Life_sciences","356837444,00","722889087,00","63,50","82586970,00","82586970,00","24784825,00","6839,00","11324,00","0,000256","0,53","19,00","0,000347","433556085,00","640932684,00","0,0628","4,3851","0,5735","4,3851","125,26","20756,00","239,38","1184,00","20044,64","2621,78","243941,00","79184,20","401787691,12","6873716,11","4,39"
,"Linguistics","120683397,00","291314466,00","15,60","50797439,00","50797439,00","5121715,00","1467,00","1469,00","0,006780","0,33","6129,00","0,007547","13793791,00","277520675,00","0,0371","0,9341","0,2455","0,9341","119,14","773,00","511,19","573,00","5303,14","504,22","219694,00","20888,50","28123300,75","254239,25","0,93"
,"Media","48318259,00","161749815,00","8,78","17753266,00","17753266,00","185417,00","1554,00","1745,00","0,000285","0,31","23,00","0,000445","3483712,00","160512733,00","0,0292","0,9070","0,0295","0,9070","3,24","944,00","13,60","731,00","2761,54","28,02","93354,10","837,02","7626111,26","785,12","0,46"
,"Publications","218757266,00","720668819,00","24,21","26911667,00","19929118,00","20161919,00","5309,00","5749,00","0,016298","0,44","32,00","0,028571","95219332,00","625449487,00","0,0413","1,5213","1,6522","1,6522","24,92","2605,00","100,55","779,00","2818,73","1368,26","87856,40","41533,20","7945258,65","1872134,40","0,81"
,"Social_networking","331647,00","1600499,00","9,65","131581,00","131579,00","2506,00","246,00","264,00","0,000041","0,25","26,00","0,000049","69797,00","1577430,00","0,0198","0,4564","0,0080","0,4564","2,38","293,00","2,47","35,00","328,46","10,15","7742,87","230,56","107886,08","102,98","0,46"
,"User_generated","2961628,00","4932352,00","6,78","505527,00","505527,00","391,00","401,00","416,00","0,000702","0,03","24,00","0,000809","179591,00","4752761,00","0,0066","0,3061","0,0685","0,3061","3,96","95,00","3,52","94,00","294,84","7,67","17703,80","300,10","86931,62","58,84","0,17"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"domain","n","m","avg_degree","max_degree","max_in_degree","max_out_degree","h_index_d","h_index_u","fill","reciprocity","pseudo_diameter","fill_overall","parallel_edges","m_unique","max_pagerank","max_in_degree_centrality","max_out_degree_centrality","max_degree_centrality","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_degree"
"standard deviation","Cross_domain","154239253,17","660292947,69","2,98","28074625,27","28075016,42","117369,54","2894,27","3030,08","0,000343","0,18","5,52","0,000348","99609990,99","561032163,03","0,0065","0,1267","0,0491","0,1299","0,95","459,29","0,86","30,69","1959,64","41,01","61980,67","757,69","12853053,98","6167,83","0,13"
,"Geography","18069086,18","121246661,84","3,52","5715608,00","5715606,19","29544,89","927,80","946,29","0,000084","0,12","91,48","0,000091","48859769,83","74584536,78","0,0021","0,0984","0,0057","0,0984","1,39","64,99","1,58","295,17","1688,85","16,18","24460,56","481,14","8140145,11","965,53","0,10"
,"Government","22299950,64","250516206,04","6,85","21619326,53","21620380,99","933503,44","1486,41","1490,77","0,000473","0,13","3,17","0,000479","5778532,54","250557430,16","0,0071","0,6125","0,1516","0,6084","25,84","32888,12","6,10","32909,69","3162,98","506,01","44533,95","12050,38","35987892,05","1574165,46","0,57"
,"Life_sciences","71711319,44","191748865,14","10,26","21242949,95","21234587,49","5390573,85","1496,43","2395,40","0,000046","0,12","3,58","0,000062","93097561,04","132459426,20","0,0140","0,7500","0,1174","0,7503","21,37","4106,05","43,54","208,28","3693,61","678,79","58113,09","16243,46","70071027,17","1617792,91","0,74"
,"Linguistics","10888238,64","26371089,09","3,66","4581165,69","4581192,04","462273,61","177,43","184,45","0,000878","0,04","819,62","0,000976","1420848,22","25082630,25","0,0066","0,2183","0,0549","0,2180","25,41","115,15","49,11","73,26","506,73","57,68","20577,79","2582,67","2539648,36","23399,23","0,22"
,"Media","17576813,05","58899644,66","1,57","6572703,18","6572703,18","68538,71","559,12","634,04","0,000107","0,11","7,40","0,000163","1283024,30","58558367,28","0,0084","0,2447","0,0099","0,2447","0,52","357,40","4,28","283,68","1182,47","8,04","39574,12","243,47","3297483,63","269,61","0,15"
,"Publications","34482884,67","109863229,60","3,87","4794982,41","4046513,61","2823854,98","899,98","961,25","0,003643","0,11","4,69","0,005305","13723007,70","97056417,53","0,0082","0,2581","0,2743","0,3269","3,35","386,28","15,06","108,98","649,90","247,22","19363,18","6011,02","1453604,07","294294,36","0,14"
,"Social_networking","104686,03","495036,60","0,59","38473,25","38472,55","871,37","50,26","54,59","0,000012","0,08","10,20","0,000016","26681,22","517242,81","0,0074","0,0658","0,0008","0,0658","0,29","87,61","0,16","12,68","49,53","0,29","1181,68","10,86","26879,73","5,68","0,08"
,"User_generated","1200709,05","2060181,05","1,26","206832,27","206832,27","137,46","153,62","155,89","0,000296","0,01","7,82","0,000343","73270,56","1990714,27","0,0018","0,0759","0,0295","0,0759","0,91","29,19","0,73","34,88","113,84","1,83","6595,71","48,73","35725,85","19,14","0,02"
